started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2023-12-01 05:53:35.071000+00:00,2023-12-01 05:59:03.480000+00:00,328,58,Tårnplass, Tårnplass ved Tinghuset,60.39375532002469,5.3217920958013565,75,Akvariet, Ved Akvariet og Havforskningsinstituttet,60.39987652272946,5.304686307890734
2023-12-01 05:55:26.040000+00:00,2023-12-01 06:00:39.369000+00:00,313,212,Klosteret,Strangehagen,60.395137943082446,5.314946630388022,790,Busstasjonen 3  Øst,Ved Taxiholdeplass,60.38785633733042,5.334459219764085
2023-12-01 05:55:48.018000+00:00,2023-12-01 06:05:32.897000+00:00,584,808,Damsgårdsveien 71,By walkway to Damsgårdsveien 69-71,60.380262713779956,5.323223146883635,132,Nøstetorget,Sukkerhusbryggen,60.3921816648884,5.315016280520865
2023-12-01 05:56:14.726000+00:00,2023-12-01 06:02:38.540000+00:00,383,640,Damsgårdsveien,Ved inngang Bunnpris,60.381511501995426,5.3194353641521275,788,Danmarksplass,Ved bybanestopp,60.376082994809856,5.339851409058042
2023-12-01 05:57:34.620000+00:00,2023-12-01 06:01:19.152000+00:00,224,810,Amalie Skrams vei Sør,Amalie Skrams vei 1,60.408096993005785,5.325510899047174,809,Skutevikstorget,På sørsiden av torget,60.40222876911276,5.320744723528605
2023-12-01 05:58:08.700000+00:00,2023-12-01 06:06:41.563000+00:00,512,646,Bjørnsonsgate,Ved Årstad VGS,60.373985939857135,5.342082137178068,5,Moxy Hotellet,På sørsiden av hotellet ,60.37878279018753,5.3333274872102265
2023-12-01 05:59:05.112000+00:00,2023-12-01 06:07:41.194000+00:00,516,645,Odontologen,Utenfor Odentologen,60.38103776618004,5.35905189499951,2322,Høyteknologisenteret,Utenfor hovedinngang,60.38174958551062,5.331698655041777
2023-12-01 05:59:55.192000+00:00,2023-12-01 06:06:10.146000+00:00,374,220,Møllendalsplass,ved KMD Fakultetet,60.379685765470725,5.3519936304809335,5,Moxy Hotellet,På sørsiden av hotellet ,60.37878279018753,5.3333274872102265
2023-12-01 06:02:53.784000+00:00,2023-12-01 06:10:01.355000+00:00,427,819,Thormøhlens gate,Lang mur ved Fotballbanen,60.38316244112318,5.324053067317891,132,Nøstetorget,Sukkerhusbryggen,60.3921816648884,5.315016280520865
2023-12-01 06:03:46.490000+00:00,2023-12-01 06:17:24.645000+00:00,818,808,Damsgårdsveien 71,By walkway to Damsgårdsveien 69-71,60.380262713779956,5.323223146883635,34,Cornerteateret, Ved BI,60.38246949877819,5.3260934892086595
